date,temp,pressure,altitude,sealevel_pressure,humidity,temp_dht
2015-07-19 17:53:24.536266,30.2,101375,-4.24512120158044,101376.0,61.79999923706055,30.100000381469727
2015-07-19 17:54:25.178986,30.3,101383,-5.24372193555056,101382.0,61.79999923706055,30.200000762939453
2015-07-19 17:55:25.797809,30.3,101385,-4.910865658099595,101386.0,61.599998474121094,30.200000762939453
2015-07-19 17:56:26.440285,30.3,101382,-5.4101460869085605,101394.0,61.70000076293945,30.200000762939453
2015-07-19 17:57:27.082471,30.3,101384,-4.910865658099595,101386.0,61.70000076293945,30.200000762939453
2015-07-19 17:58:27.724957,30.2,101388,-5.4101460869085605,101387.0,61.79999923706055,30.200000762939453
2015-07-19 17:59:28.367319,30.3,101381,-4.910865658099595,101388.0,61.79999923706055,30.100000381469727
2015-07-19 18:00:28.965885,30.3,101376,-4.744433531819608,101384.0,61.0,30.100000381469727
2015-07-19 18:01:29.608111,30.2,101386,-4.161900153505154,101384.0,60.5,30.200000762939453
2015-07-19 18:02:30.250282,30.3,101373,-3.412880807573828,101382.0,60.5,30.200000762939453
